iata_code,name,iso_country,iso_region,municipality,type,lat,lon
AKS,Gwaunaru'u Airport,SB,SB-ML,Auki,small,160.682,-8.7026
AKT,RAF Akrotiri,GB,GB-U-A,Akrotiri,large,32.9879,34.5904
AKU,Aksu Airport,CN,CN-65,Aksu,medium,80.2917,41.2625
AKV,Akulivik Airport,CA,CA-QC,Akulivik,medium,-78.1486,60.8186
AKW,Aghajari Airport,IR,IR-10,Aghajari,medium,49.6772,30.7444
AKX,Aktobe Airport,KZ,KZ-AKT,Aktyubinsk,medium,57.2067,50.2458
AKY,Sittwe Airport,MM,MM-16,Sittwe,medium,92.8726,20.1327
ALA,Almaty Airport,KZ,KZ-ALM,Almaty,large,77.0405,43.3521
ALB,Albany International Airport,US,US-NY,Albany,medium,-73.8017,42.7483
ALC,Alicante International Airport,ES,ES-V,Alicante,large,-0.5582,38.2822
ALD,Alerta Airport,PE,PE-MDD,Fortaleza,small,-69.333,-11.683
ALE,Alpine Casparis Municipal Airport,US,US-TX,Alpine,small,-103.684,30.3842
ALF,Alta Airport,NO,NO-20,Alta,medium,23.3717,69.9761
ALG,Houari Boumediene Airport,DZ,DZ-35,Algiers,large,3.2154,36.691
ALH,Albany Airport,AU,AU-WA,Albany,medium,117.809,-34.9433
ALI,Alice International Airport,US,US-TX,Alice,medium,-98.0269,27.7409
ALJ,Alexander Bay Airport,ZA,ZA-NC,Alexander Bay,medium,16.5333,-28.575
ALL,Villanova D'Albenga International Airport,IT,IT-42,Albenga (SV),medium,8.1274,44.0506
ALM,Alamogordo White Sands Regional Airport,US,US-NM,Alamogordo,medium,-105.991,32.8399
ALN,St Louis Regional Airport,US,US-IL,Alton/St Louis,medium,-90.046,38.8903
ALO,Waterloo Regional Airport,US,US-IA,Waterloo,medium,-92.4003,42.5571
ALP,Aleppo International Airport,SY,SY-HL,Aleppo,large,37.2244,36.1807
ALQ,Alegrete Novo Airport,BR,BR-RS,Alegrete,small,-55.8934,-29.8127
ALR,Alexandra Airport,NZ,NZ-OTA,Alexandra,medium,169.373,-45.2117
ALS,San Luis Valley Regional Bergman Field,US,US-CO,Alamosa,medium,-105.867,37.4349
ALT,Alenquer Airport,BR,BR-PA,Alenquer,small,-54.7231,-1.917
ALU,Alula Airport,SO,SO-BR,Alula,small,50.748,11.9582
ALV,Andorra la Vella Heliport,AD,AD-07,Andorra La Vella,heliport,1.5336,42.5112
ALW,Walla Walla Regional Airport,US,US-WA,Walla Walla,medium,-118.288,46.0949
ALX,Thomas C Russell Field,US,US-AL,Alexander City,small,-85.963,32.9147
ALY,El Nouzha Airport,EG,EG-ALX,Alexandria,medium,29.9489,31.1839
ALZ,Alitak Seaplane Base,US,US-AK,Lazy Bay,seaplane_base,-154.248,56.8995
AMA,Rick Husband Amarillo International Airport,US,US-TX,Amarillo,large,-101.706,35.2194
AMB,Ambilobe Airport,MG,MG-D,,small,48.988,-13.1884
AMC,Am Timan Airport,TD,TD-SA,Am Timan,small,20.274,11.034
AMD,Sardar Vallabhbhai Patel International Airport,IN,IN-GJ,Ahmedabad,medium,72.6347,23.0772
AME,Alto Molocue Airport,MZ,MZ-Q,Alto Molocue,small,37.6814,-15.6103
AMF,Ama Airport,PG,PG-ESW,,small,141.67,-4.1011
AMH,Arba Minch Airport,ET,ET-SN,,medium,37.5905,6.0394
AMI,Selaparang Airport,ID,ID-NB,Mataram-Lombok Island,small,116.095,-8.5607
AMJ,Cirilo Queiróz Airport,BR,BR-MG,Almenara,small,-40.6672,-16.1839
AMK,Animas Air Park,US,US-CO,Durango,small,-107.869,37.2032
AML,Puerto Armuelles Airport,PA,PA-4,Puerto Armuelles,closed,-82.8649,8.2681
AMM,Queen Alia International Airport,JO,JO-AM,Amman,large,35.9932,31.7226
AMN,Gratiot Community Airport,US,US-MI,Alma,small,-84.688,43.3221
AMO,Mao Airport,TD,TD-KA,Mao,small,15.3144,14.1456
AMP,Ampanihy Airport,MG,MG-U,Ampanihy,small,44.7342,-24.6997
AMQ,"Pattimura Airport, Ambon",ID,ID-MA,Ambon,medium,128.089,-3.7103
AMS,Amsterdam Airport Schiphol,NL,NL-NH,Amsterdam,large,4.7639,52.3086
AMT,Amata Airport,AU,AU-SA,,small,131.2027,-26.0974
AMU,Amanab Airport,PG,PG-SAN,Amanab,small,141.2143,-3.586
AMV,Amderma Airport,RU,RU-NEN,Amderma,medium,61.5564,69.7633
AMW,Ames Municipal Airport,US,US-IA,Ames,small,-93.6218,41.992
AMX,Ammaroo Airport,AU,AU-NT,,small,135.242,-21.7383
